,...1,日期,断面,lon,lat,SR_B1,SR_B2,SR_B3,SR_B4,SR_B5,SR_B6,SR_B7,TP,TN
74,191,NA,荆州河口,112.0547,30.2944,0.904500008,0.926400006,1.026600003,0.969200015,1.348799944,0.991400003,0.8847,0.114691,2.161524
75,193,NA,观音寺,112.2539,30.1989,0.870999992,0.887399971,1.015200019,0.964999974,1.716899991,1.421700001,1.178900003,0.073968,2.245783
76,194,NA,调关,112.6236,29.6919,0.993799984,1.031800032,1.136999965,1.156599998,1.514500022,1.531900048,1.388599992,0.075714,2.197232
77,198,NA,白浒山,114.6287,30.5484,0.961899996,0.981999993,1.046200037,0.999599993,1.859699965,1.371500015,1.111799955,0.091925,1.025125
78,201,NA,姚港(河西水厂),115.96972,29.7244,1.066949964,1.103800058,1.184000015,1.251850009,1.476500034,1.517400026,1.425449967,0.060402,1.955468
79,204,NA,柳口,112.4239,29.9947,0.855000019,0.926599979,1.168400049,1.007799983,1.606600046,1.238899946,1.052600026,0.070145,1.70428
80,206,NA,燕矶,115.0072,30.3992,0.889699996,0.913699985,1.034199953,1.005100012,1.841400027,1.489099979,1.149000049,0.061528,2.055925
81,211,NA,观音寺,112.2539,30.1989,0.937399983,0.906099975,1.088199973,0.946500003,1.595499992,1.239400029,1.028499961,0.063803,2.347374
82,216,NA,白浒山,114.6287,30.5484,0.938199997,0.930100024,1.017799973,0.931299984,2.292599916,1.540500045,1.126299977,0.068108,1.295161
83,220,NA,姚港(河西水厂),115.96972,29.7244,1.037400007,1.063449979,1.137199998,1.178500056,1.491400003,1.461099982,1.287500024,0.101532,2.396783
84,221,NA,杨泗港,114.2585,30.4793,0.92750001,0.939300001,0.989300013,0.976100028,1.448199987,1.217700005,1.048300028,0.079551,1.541473
85,223,NA,砖瓦厂,112.0622,30.2783,0.903699994,0.910899997,0.979200006,0.913500011,2.062099934,1.309100032,1.050099969,0.092221,2.687613
86,224,NA,中官铺,115.473,29.8408,1.05095005,1.098199964,1.263550043,1.369650006,1.803900003,1.834249973,1.56675005,0.062214,1.875186
87,225,NA,柳口,112.4239,29.9947,0.979600012,1.001199961,1.091950059,1.071750045,1.862300038,1.489599943,1.259850025,0.099891,1.570207
88,228,NA,富池闸,115.4248,29.8762,0.935750008,0.952400029,1.060799956,1.024000049,1.839450002,1.595849991,1.228649974,0.04693,1.628651
89,229,NA,荆州河口,112.0547,30.2944,0.959800005,1.002099991,1.145499945,1.168099999,1.208299994,0.966600001,0.895399988,0.109828,1.734671
90,230,NA,荆江口,112.9747,29.4825,0.879000008,0.956200004,1.147600055,1.1954,1.064599991,0.845899999,0.811100006,0.085685,2.207136
91,231,NA,汉洪大桥,113.8431,30.1981,0.827700019,0.871100008,0.970899999,0.918799996,1.344699979,1.201799989,0.980099976,0.084804,1.441731
92,233,NA,观音寺,112.2539,30.1989,0.89805001,0.932099998,1.078549981,1.013399959,2.001600027,1.473799944,1.126950026,0.07206,2.236222
93,234,NA,调关,112.6236,29.6919,0.989700019,1.046599984,1.177800059,1.20389998,1.602300048,1.591599941,1.33949995,0.084058,1.755614
94,239,NA,新滩,113.8969,30.1678,0.929899991,0.958500028,1.055999994,1.038100004,2.025500059,1.542400002,1.154500008,0.09227,1.601427
95,240,NA,白浒山,114.6287,30.5484,0.892099977,0.901600003,0.985199988,0.925999999,2.009500027,1.37559998,1.033100009,0.081318,1.346094
96,241,NA,龙口,114.5828,30.6414,1.005249977,1.030099988,1.105949998,1.165899992,1.641299963,1.795850039,1.583699942,0.062791,1.759298
97,243,NA,姚港(河西水厂),115.96972,29.7244,1.064900041,1.082900047,1.150200009,1.188799977,1.450399995,1.447600007,1.297899961,0.099465,2.07778
98,245,NA,杨泗港,114.2585,30.4793,0.931599975,0.944199979,0.998099983,0.964100003,1.36500001,1.300300002,1.094699979,0.072397,2.530176
99,248,NA,中官铺,115.473,29.8408,0.986699998,1.01970005,1.138900042,1.181100011,1.650500059,1.596899986,1.354200006,0.07313,1.755068
100,249,NA,柳口,112.4239,29.9947,0.912599981,0.943400025,1.02639997,1.00759995,1.663699985,1.307500005,1.121799946,0.079154,1.790346
101,254,NA,富池闸,115.4248,29.8762,0.894699991,0.900099993,1.01849997,0.958800018,1.940099955,1.518000007,1.16170001,0.045916,1.0606
102,256,NA,调关,112.6236,29.6919,1.002900004,1.04519999,1.153100014,1.178900003,1.62590003,1.606400013,1.376700044,0.076757,1.971827
103,264,NA,新滩,113.8969,30.1678,0.918099999,0.934000015,1.048699975,1.03760004,1.969699979,1.57159996,1.20630002,0.117497,1.42043
104,265,NA,白浒山,114.6287,30.5484,0.951049984,0.987049997,1.078500032,1.032649994,2.02154994,1.485949993,1.121250033,0.055375,1.9005
105,267,NA,龙口,114.5828,30.6414,1.195050001,1.243999958,1.346750021,1.391000032,1.85165,1.903849959,1.645900011,0.046316,1.34375
